income,expenses,debts,savings
63731,20315,9666,42449
54931,16182,14314,37317
42053,37700,14062,2946
57699,45061,19977,10640
51456,25611,15273,24317
64529,18609,11036,44816
39469,5418,8407,33210
45085,20192,19328,22960
44118,28863,17997,13455
28047,45991,20302,0
54441,36731,10159,16694
53915,33050,24192,18445
50076,25998,6281,23449
46481,24168,18548,20458
28769,44056,5452,0
43690,32007,11048,10578
44859,8973,22805,33605
37965,23264,19156,12785
47580,21417,12268,24936
56060,24537,12405,30282
78292,35629,15503,41112
52618,28925,17570,21936
53863,29231,21257,22506
48883,43134,12718,4477
21218,23035,6941,0
49602,48641,15784,0
50903,23286,12712,26345
86948,30891,8496,55207
47114,27187,16488,18278
54523,31234,13934,21895
49479,34445,16532,13380
32469,34338,10527,0
67142,22468,17433,42930
61278,18770,8414,41666
61865,55031,10861,5747
36359,25160,13785,9820
71041,36992,23709,31678
28972,13923,18924,13156
58802,27203,20385,29560
82856,28728,22085,51919
35141,34728,33014,0
41505,2775,15207,37209
51494,31661,22102,17622
42447,18502,20063,21938
26740,33243,19980,0
51028,19636,23871,29004
34065,21445,12903,11329
57103,27263,12506,28589
36208,19476,16598,15072
73249,25244,14086,46596
38251,18066,16592,18525
45169,11668,22813,31219
62202,40179,12609,20762
31537,17039,13476,13150
53411,28213,15871,23610
69607,37528,13858,30693
25887,23850,5429,1494
52769,21748,12099,29811
53898,32262,18436,19792
61727,41179,22187,18329
31445,18306,9226,12216
30193,28498,9203,774
57829,12675,15151,43638
54454,26067,4622,27924
53757,30342,12775,22137
55196,21453,6319,33111
39799,25430,21845,12184
53483,15917,11153,36450
54396,30770,23264,21299
39284,40556,20567,0
77986,19028,11768,57781
57107,23773,9640,32370
32130,35025,14032,0
59848,42120,14476,16280
35379,15068,16730,18638
61806,28312,11117,32382
67378,32831,18731,32673
37689,28979,16326,7077
64450,5232,13298,57888
56191,35010,11439,20037
62330,45193,14075,15729
78451,31166,10915,46193
46319,19688,15292,25101
38693,24868,15427,12282
36657,47699,16308,0
37762,39099,23831,0
48843,36400,14337,11009
55117,33564,20022,19550
54150,23388,16147,29147
62407,27994,13808,33032
50195,29220,14404,19534
71803,35495,14705,34837
46030,45089,16398,0
90802,41183,10203,48598
59385,15806,7673,42811
37142,32239,18271,3075
33936,37367,19490,0
57237,36188,18728,19176
46648,23707,15774,21363
60710,59141,18836,0
57098,17229,18567,38012
48907,19168,18938,27845
37298,32335,10702,3892
27277,51168,9515,0
43302,21638,13057,20358
62845,27341,14913,34012
53211,40772,13790,11060
31313,29821,5616,930
52597,26653,23608,23583
55779,35656,13629,18760
36742,32725,15863,2430
52305,40304,21222,9878
50873,42914,3275,7631
32855,33070,12441,0
55366,32917,13064,21142
58411,32141,13318,24938
66245,34891,14132,29940
65807,30551,22235,33032
29334,29993,18367,0
35932,41966,19790,0
57725,45161,15235,11040
57706,14924,8003,41981
57725,30100,4601,27164
107790,23113,7352,83941
58563,26890,16798,29993
67033,34025,15158,31492
64310,36694,13949,26221
59770,28878,13157,29576
45270,10866,25058,31898
61384,20349,10885,39946
38407,38964,19639,0
46447,2595,15009,42351
42719,41874,14695,0
51228,35212,20883,13927
84719,43161,22312,39326
21991,28014,13802,0
60293,9385,18996,49008
25809,34303,16819,0
42921,42746,15037,0
66334,39247,16021,25484
50964,23373,11559,26435
33833,30867,13469,1619
39270,24671,12096,13389
60193,21807,19506,36435
39044,39553,14523,0
53246,18024,8511,34370
50683,21061,11382,28483
40225,18959,-996,21365
82159,15097,12527,65809
59508,31464,15188,26525
19622,41615,14319,0
52796,28151,24900,22155
40073,14942,17874,23343
62786,38399,17652,22621
38112,46857,6783,0
48278,23537,13176,23423
57574,25214,12566,31103
62986,35156,11069,26723
31995,46218,11000,0
44982,24801,5959,19585
42875,16675,8620,25338
40200,36314,19370,1949
76481,37990,14285,37062
56074,30061,12467,24766
31086,24418,14972,5170
63767,39943,20836,21740
81832,35280,15021,45049
65486,22315,17701,41400
27209,30490,10766,0
42736,16482,11906,25063
69003,36858,16769,30468
39384,27377,24463,9560
56657,25642,22148,28800
61619,29671,17914,30156
36096,30403,15757,4117
49107,38949,22005,7957
1380,35910,18973,0
34634,28435,3531,5845
46211,37636,9730,7602
31283,34007,16690,0
74486,25734,6065,48145
28547,28752,10512,0
43399,28517,11500,13732
51961,35052,13719,15537
71619,26329,13562,43933
28462,26095,13554,1011
67447,49687,19126,15847
50153,39397,13673,9388
35277,22393,13076,11576
56931,35709,8254,20396
52985,31183,20121,19789
40996,33915,11642,5916
51047,31373,9564,18717
44220,41896,16065,717
51702,33456,11165,17129
59931,29379,12370,29315
73790,40421,16292,31739
31432,32332,13367,0
81995,31214,26558,48125
20718,33140,14625,0
47723,29063,18089,16851
58824,30092,5291,28202
54214,24133,10696,29011
40659,22488,9565,17214
46878,20014,10228,25841
42604,16080,17077,24816
41159,21202,20177,17939
62744,28257,16723,32814
55355,31031,13866,22937
39606,27287,11845,11134
63493,6442,20567,54994
54609,45745,25356,6328
62192,40864,15675,19760
59444,34457,19696,23017
37565,49074,16716,0
41597,20226,18777,19493
61209,48876,9177,11415
59155,20347,12559,37552
49686,32387,16977,15601
51759,17261,21062,32391
69164,30146,10909,37927
41126,33861,4833,6781
58206,28453,12508,28502
46967,37138,20050,7824
46734,30990,7080,15036
66481,24775,9115,40794
62381,24331,15779,36472
62202,38109,14420,22651
69582,23462,17972,44322
50315,39154,8856,10275
60229,42227,13375,16664
45345,13312,20975,29935
54862,41329,9035,12629
48047,50604,22384,0
51454,32520,9662,17967
58927,35990,19246,21012
37726,40370,13135,0
81385,27245,9275,53212
34909,31822,12515,1835
31787,16858,17724,13156
67371,31386,14965,34488
61874,34981,20592,24833
59361,35161,22178,21982
59425,40654,9084,17862
49816,22251,8718,26693
36541,24673,8476,11020
51137,48955,10504,1131
39842,28496,20521,9293
64626,32000,17801,30845
47794,29329,12274,17237
37617,21783,14944,14339
45179,46235,22021,0
56193,24722,24540,29017
41544,18727,16296,21187
37666,25492,1703,12003
53655,9982,16486,42024
53674,23487,19673,28219
42395,20318,16123,20464
42934,36174,18632,4896
53480,23265,16785,28536
28278,38878,8826,0
28888,43984,10568,0
39223,37811,13394,72
46798,27846,20327,16919
54663,31411,11170,22135
72130,14750,17279,55652
62864,28662,16518,32550
47600,21395,22930,23912
49714,36943,14791,11291
34962,55727,6226,0
49722,34998,18234,12900
45670,10088,25690,33013
54840,26387,18561,26596
37591,31224,11061,5260
57790,30873,9590,25958
72991,22691,10235,49276
48368,32452,25016,13414
56025,17574,13363,37114
60352,20550,11686,38633
43981,36457,14207,6103
53361,19843,13415,32176
50188,35382,22838,12522
51465,16305,9927,34167
38404,47648,20903,0
50367,22257,15610,26549
57469,27763,21035,27602
71767,33306,22913,36169
64389,24346,15423,38500
82297,31434,13424,49520
38489,35753,15330,1203
63084,39606,14526,22025
52750,37914,6715,14164
82847,28281,22762,52289
37875,28533,16228,7719
37404,53491,9184,0
41009,39498,4662,1044
18141,20781,3362,0
42113,30999,18852,9228
38613,26648,11905,10774
52255,28646,12725,22336
55126,17705,17440,35677
78142,25880,12419,51020
64256,48115,17732,14367
41346,35790,15476,4008
36523,5088,14579,29977
57378,42167,7136,14497
30196,40896,10901,0
77471,26407,18012,49262
67691,37172,11589,29360
42962,21406,21026,19453
24302,25297,26732,0
70308,44985,18281,23494
48281,27282,22464,18752
68567,11302,18603,55404
26083,29366,12328,0
41009,29214,16000,10195
50078,41983,25066,5588
50704,30143,12382,19322
43249,25784,9803,16484
59342,40450,9329,17959
33985,31207,13912,1386
47864,22499,9982,24366
51804,41549,23370,7918
57716,31936,16081,24171
60674,30029,19858,28659
33130,31779,13506,0
26988,19293,9299,6765
69165,24723,8453,43596
54984,30035,10460,23903
38772,28053,16737,9045
73267,42724,17599,28783
51735,32174,18015,17759
67689,38549,7556,28384
51012,30093,14997,19419
80911,40562,9869,39362
76330,33975,17007,40654
46265,30134,17395,14391
64573,29867,9139,33792
59680,20455,19840,37241
70529,35069,26694,32790
35526,29597,19174,4011
60290,24980,14185,33891
65876,41064,13417,23470
23618,17497,13954,4725
32251,25775,11196,5356
19411,40277,16261,0
45958,33155,9307,11872
60763,29521,5551,30686
72535,32510,16098,38415
51111,31794,15106,17806
74429,14833,12144,58381
29298,26507,8586,1932
24449,46165,16448,0
49166,23406,10049,24755
55760,26816,14305,27513
49509,24583,23824,22543
18988,29129,18255,0
48663,24168,8154,23679
30432,34867,8625,0
60045,31973,15759,26496
55498,37735,8123,16950
35901,19490,4991,15911
42291,26596,17661,13928
34111,27742,16604,4708
49059,34556,17252,12777
64327,22067,16315,40628
35214,39156,14673,0
57560,41864,11689,14527
42046,20111,17580,20177
38106,25091,22649,10750
48394,24680,12493,22464
34471,56323,9896,0
41695,25700,9324,15062
32031,46776,10666,0
79470,17333,16012,60535
50528,20103,4301,29994
39504,23133,17195,14651
53209,21543,18219,29844
48315,27321,6009,20393
46685,22912,10104,22762
59212,21806,15398,35866
61362,41584,14282,18349
42042,42237,17598,0
41362,39492,14294,440
45874,35239,21323,8502
15471,30927,13394,0
27272,25029,10084,1234
70503,20468,9682,49066
74674,33629,18677,39177
46264,18263,15148,26486
58648,20060,18168,36771
54668,41529,18065,11332
96183,49006,4900,46687
66793,33932,9299,31931
48081,41064,9896,6027
35666,27541,10919,7033
25903,16623,12898,7990
53051,36121,19995,14930
38654,35692,20992,862
28666,30716,13535,0
40301,27576,13743,11350
33776,39622,11472,0
75307,20142,15445,53620
63224,22262,16012,39360
49880,19918,19032,28058
72199,30849,18992,39450
51160,19121,3489,31690
37080,23157,14237,12499
72846,22942,21920,47712
58083,27393,12809,29409
34441,15126,20696,17245
47144,30872,13467,14925
36865,42473,15874,0
29258,31354,9315,0
63892,45413,9503,17528
78641,43339,18627,33439
29021,37777,19409,0
58444,30746,15132,26184
40240,30225,8862,9128
42693,37637,15219,3534
41114,26083,21286,12902
37040,11174,23714,23494
50727,34920,13416,14465
37535,18689,6700,18176
54056,20378,19201,31757
49246,30002,13620,17882
46415,29048,19715,15395
36386,15879,16405,18866
41348,31654,10582,8635
61330,39661,15291,20139
57513,18716,21541,36642
35336,42724,14254,0
51489,14398,9825,36108
61270,51173,7056,9391
24958,25887,11139,0
58150,31456,12949,25399
40060,11079,19099,27071
58558,29378,9395,28240
38551,32284,22768,3990
22926,29138,8314,0
25586,24369,26657,0
50721,20534,23627,27824
53895,41305,15705,11019
36435,30308,6761,5450
59578,45407,14722,12698
25077,24735,13065,0
49008,25652,8628,22493
31834,38155,16455,0
40222,13770,10881,25363
50710,17865,11425,31702
37093,40974,13981,0
44231,18280,12125,24738
65094,11809,25390,50746
41346,48685,12321,0
62535,16061,17204,44753
33054,31841,15727,0
57947,30690,16763,25580
71623,1893,17145,68015
12925,27326,19406,0
38046,34484,16332,1928
58656,33543,16124,23500
46954,39035,15292,6389
55567,26125,14307,28011
40940,37125,10441,2770
51298,23106,14695,26722
47664,15895,16206,30148
67516,17022,17010,48793
53816,15378,15901,36847
55064,40095,13835,13585
43821,14854,14714,27495
42685,32740,12231,8721
43511,27340,16566,14514
55916,28973,13894,25553
43685,43636,15902,0
54346,25615,20004,26730
81131,36116,11453,43869
63066,30375,17983,30892
45109,28479,15166,15113
68018,52999,25105,12508
43878,15586,13918,26900
19428,42891,18475,0
34878,36564,15076,0
21938,25204,8058,0
44727,46293,12396,0
50276,11518,19402,36817
75146,24782,12836,49080
54903,17915,3898,36598
46713,34120,14842,11108
62441,18869,9538,42618
16832,34330,15659,0
53534,28135,22755,23123
61562,25206,18847,34471
27821,33886,22683,0
67156,27313,12192,38623
55077,19113,14284,34535
43770,58013,9777,0
59491,25128,11579,33205
84060,7823,10365,75200
52727,21579,8466,30301
53723,17327,21829,34213
43109,38261,4540,4394
37252,33216,21850,1851
62455,33987,21230,26345
37158,26299,17498,9109
51073,27206,9427,22924
42835,26290,7089,15836
57184,29188,12257,26770
55004,38353,18125,14838
65563,33360,15015,30701
42349,35001,9782,6369
45951,34995,20741,8881
35318,38844,23421,0
43335,32881,13867,9067
55659,33588,15546,20516
61354,41888,7455,18720
36167,23349,12928,11525
63044,21442,17552,39846
70334,18140,16774,50516
56201,31829,12461,23125
78151,11462,13628,65326
38393,34621,12763,2495
31330,28908,13607,1061
23319,41346,17116,0
72440,23280,5162,48643
59815,27966,14628,30386
49166,41222,16749,6269
54199,43831,12147,9153
33117,23198,12603,8658
86686,31817,12748,53594
51938,32944,12604,17733
51640,33736,15029,16401
60886,27374,15645,31947
57215,42813,4497,13952
53358,11102,18264,40429
38142,25788,13550,10999
57072,34479,24664,20126
78230,34572,9041,42753
70181,43527,10663,25587
73897,41982,13985,30516
42331,27144,17066,13480
35155,42998,5246,0
48113,22859,10854,24168
50835,39308,17956,9731
66412,48105,10259,17281
24613,42149,21850,0
72943,31057,12730,40613
47629,26682,10503,19896
43596,14714,18051,27076
34818,33105,23038,0
25177,18847,17081,4621
62347,22068,21302,38148
51099,18092,23383,30668
30650,25396,10390,4215
30573,29720,19691,0
44963,32736,7382,11488
75035,23994,17124,49328
46106,40692,14643,3949
27452,27917,21214,0
46313,22122,20861,22104
45909,32262,17848,11862
9546,49635,16492,0
49185,33351,17541,14079
46535,26371,15308,18633
60443,14725,14694,44248
77734,27805,22212,47707
66898,32349,22814,32267
45966,26124,14291,18412
33402,13346,16188,18437
88600,21494,15408,65565
50888,44545,6941,5648
50208,44340,13317,4536
49638,21133,22998,26205
52971,36727,11251,15118
47834,18214,25572,27062
41395,44043,20860,0
41797,32452,17007,7644
49508,39496,17804,8231
41848,12849,10413,27957
39307,36776,13673,1163
51596,29923,22206,19452
46175,38519,11927,6463
72559,39148,20305,31380
10235,30657,8114,0
66372,23991,9009,41480
68691,37796,24506,28444
18899,29398,14940,0
44859,21272,12307,22356
44428,20798,21813,21448
28887,15228,21229,11536
38332,24897,19603,11474
33341,41026,12150,0
76284,31778,13565,43149
64035,24702,16558,37677
69073,38048,18471,29177
60825,21675,12457,37904
33064,30953,15853,525
42132,28203,16336,12295
57340,37791,21433,17405
31668,14227,18772,15563
60694,21498,7465,38449
46395,13617,13931,31384
44377,27404,10356,15937
60664,42114,17840,16766
56663,24945,19615,29756
44585,24893,15507,18141
67389,38717,13659,27306
33784,40685,15345,0
59239,29114,16044,28520
58896,36847,11799,20869
45356,19230,8906,25235
54891,43779,4749,10637
31233,51487,21335,0
63860,35212,17481,26899
47226,9156,16812,36388
42159,24417,21325,15609
65735,36128,8722,28734
39434,25785,6321,13016
28873,42721,16921,0
26650,35881,16466,0
59090,22935,6343,35520
30793,30322,16797,0
76321,21061,12998,53960
18771,28174,10964,0
75446,24454,13332,49658
53165,41747,2792,11138
48549,51160,12043,0
41826,15688,11478,24990
55987,10767,17785,43441
49435,27548,14208,20466
66549,14815,18194,49914
51713,30462,2252,21025
52254,37489,10804,13684
44545,44941,17779,0
49145,32013,13455,15786
54617,28068,19227,24626
24347,10216,5976,13533
29777,30261,18655,0
61148,30712,11804,29255
52562,36389,11319,15041
47240,22915,19955,22329
50276,25649,20809,22546
55213,15219,20173,37976
41903,7087,25193,32296
38325,18915,21334,17276
52937,14296,11022,37538
35324,33367,15708,386
56123,24818,13199,29985
24461,24617,25145,0
65437,20155,20524,43229
57088,-2325,14055,58007
53840,45083,19389,6818
64740,19997,8839,43859
74982,25875,16251,47481
65215,15451,10310,48733
22386,39719,6557,0
30806,31434,18922,0
40627,21736,19542,16936
50391,26077,17286,22585
57764,46781,14085,9574
39113,29270,8668,8976
52801,28182,9193,23699
38669,20586,10153,17067
40827,11054,13831,28389
28900,28399,20380,0
36151,33254,20302,866
29724,40995,6757,0
35361,7515,11533,26692
65804,18749,11399,45915
35759,24192,2342,11332
89485,29965,17830,57737
57399,28549,13769,27473
52772,28783,14434,22545
37124,34080,21729,871
60504,20967,15441,37992
41365,39341,12846,739
51830,34334,17860,15710
88401,26801,20294,59570
48559,46009,16482,901
67239,45564,18445,19830
39452,39328,14272,0
49475,-185,14590,48201
76562,45789,15565,29216
40595,37947,11234,1524
77186,50064,12159,25906
60616,42374,21889,16053
41562,45783,25039,0
59486,38786,22960,18404
64588,43486,8383,20263
59327,49941,7900,8596
26446,32165,9046,0
39092,14277,15671,23247
46287,26925,956,19266
48883,33899,12055,13778
59310,30748,22035,26358
52665,17534,19912,33139
29969,13689,12454,15034
55702,22588,12833,31830
59158,38077,17836,19297
58396,45803,19676,10625
66211,39165,12334,25812
62508,40574,13828,20551
56887,29191,12169,26479
48947,12579,8343,35533
25085,25447,13901,0
56444,27412,13520,27680
53115,25029,8696,27216
54073,30546,18230,21704
30848,34414,17416,0
33784,38530,18478,0
65797,27218,11159,37463
49406,10962,5082,37935
60222,25171,17336,33317
50424,30437,11679,18819
50446,42228,10546,7163
64074,24321,8714,38881
42259,35125,13623,5771
51441,32900,22886,16252
43065,30439,12472,11378
43482,39305,9550,3222
45362,23391,18259,20145
53332,24248,15864,27497
42818,29880,4403,12497
68836,23598,18311,43406
36580,35080,25642,0
47196,22868,1997,24128
43404,32263,8821,10258
71704,28998,757,42630
52948,32149,14623,19336
65477,25402,19951,38079
27716,26609,15527,0
54005,30960,21959,20849
63344,32020,19152,29408
51234,29957,23510,18926
65982,47053,20801,16848
42240,20092,12985,20849
71140,29357,15333,40249
84483,14263,10656,69154
44557,33720,13846,9452
43317,18847,15309,22939
71800,27216,14575,43126
73693,26279,21711,45242
42157,32808,13349,8014
43697,24472,10339,18191
45773,24046,10651,20661
29833,44358,18275,0
36220,32845,7984,2576
34937,24389,13994,9148
38483,27491,21637,8828
49479,46453,16462,1379
53513,27648,14626,24402
73257,23107,14820,48668
35024,23150,9852,10888
64764,24508,10714,39184
46790,24055,14024,21332
49258,17203,16356,30419
60122,18757,19740,39391
33159,21706,15462,9906
55736,35915,21763,17644
52496,26187,23025,24006
57386,27928,18976,27560
54337,42700,21124,9524
86829,42950,10046,42874
40433,27178,9254,12329
42035,23691,17589,16585
40652,21355,8293,18467
41667,36927,13548,3385
40439,27952,18855,10601
67835,26135,22066,39493
71307,21863,13728,48071
41438,22303,11750,17960
37514,33200,16602,2653
57071,16845,9632,39262
41716,39948,14133,354
59493,24661,14959,33336
53043,28503,14860,23054
27263,16630,15442,9088
73212,29876,10827,42253
76938,26716,11365,49085
40808,29499,11264,10182
44184,44717,6899,0
54287,31776,16709,20840
55016,22053,19473,31015
59878,22886,18981,35093
80153,35951,13687,42833
47345,42986,10944,3264
38025,32819,18721,3333
29310,36887,18194,0
39036,36097,16087,1330
49503,44190,23721,2940
76918,10504,14867,64927
42235,36672,13715,4191
53356,39837,13000,12219
49753,16612,7195,32421
67825,21143,18306,44851
87903,21492,14472,64963
42036,22712,17549,17569
42658,25182,24209,15055
65662,32426,13046,31931
60228,38656,3309,21241
77700,40813,17405,35146
58758,21621,15834,35553
44610,21552,11337,21924
58859,43158,16986,14002
66630,36467,18930,28270
62307,30828,10266,30452
57609,34733,13493,21526
66000,29701,22383,34060
67539,35245,11391,31154
70732,26639,15333,42559
59730,32688,1877,26854
47493,14894,7590,31840
52200,23122,15787,27499
68097,23229,21139,42754
37745,26256,8189,10670
55530,20734,15372,33258
44099,24664,13121,18122
50431,14855,19765,33599
69176,35487,8910,32798
52866,29174,17150,21977
50696,12947,11731,36575
29602,21651,16115,6339
61193,33366,15344,26292
59682,24569,13741,33738
82448,23030,17389,57679
45383,29254,15218,14607
53287,33435,14335,18418
53740,15636,13217,36782
73661,35501,15387,36621
48570,21997,16110,24962
54185,29820,10054,23359
59118,29645,13252,28147
52799,24729,9724,27097
43303,19763,14800,22060
52911,27143,12038,24564
66104,46253,18853,17965
34602,16383,18363,16382
51994,46923,10386,4032
39498,27402,14988,10597
67925,30353,18192,35752
27152,19132,14123,6607
41616,22287,11358,18193
55658,24970,9537,29734
73482,19543,19271,52011
49013,27910,19513,19151
41672,25929,13960,14347
78217,48507,18830,27827
28279,18340,173,9921
17017,31026,21637,0
56600,32478,14215,22700
42469,19296,15708,21602
34681,36868,13397,0
60625,26016,21978,32411
53657,5076,9696,47611
41538,36598,22372,2702
30795,18830,16981,10266
63086,19522,18113,41752
59753,36879,13353,21538
48512,26528,8458,21138
77699,39177,19652,36556
33948,42101,16557,0
27117,23550,21808,1386
39621,37932,14031,285
49316,22445,12903,25580
53650,52331,21940,0
46381,23070,24559,20855
55280,40260,15046,13515
31226,38437,11236,0
71656,33160,19052,36590
48767,23294,13729,24100
66759,28486,17996,36473
55140,8464,13703,45305
56851,32244,22820,22325
58546,33496,11502,23899
56715,31334,17402,23640
59640,266,12556,58118
69937,17343,13592,51234
52947,22519,12939,29134
60635,32916,18693,25849
48653,32893,19591,13800
71601,28297,17788,41525
39854,36352,14460,2056
77014,19737,15700,55707
49397,36102,19488,11346
28538,34747,19646,0
51921,33775,1548,17991
39784,28179,13638,10241
62609,48307,13878,12914
40210,34931,18346,3444
43307,20316,14666,21524
21656,32483,18595,0
43215,37524,9606,4730
13641,24118,16300,0
26241,40892,19501,0
61406,33820,7628,26823
61787,6575,27568,52455
56381,32996,20954,21289
35495,25939,15006,8055
49284,35371,10857,12827
49945,39442,14124,9090
32624,31951,15419,0
72550,46652,17203,24177
63160,28212,22503,32697
46685,36248,12619,9175
50403,38049,17813,10572
53125,29026,8537,23245
19373,37787,12931,0
46292,24053,16883,20550
39770,25774,18456,12150
34975,16875,11233,16976
45783,32414,12796,12089
76965,33252,22302,41482
59612,41792,20809,15739
41432,37911,16042,1916
58588,27152,3816,31054
70990,18218,27555,50016
63869,34328,14900,28051
50894,41107,13437,8443
40295,37551,12388,1505
60473,40844,16881,17940
55902,27881,16932,26327
63427,25333,19753,36118
59527,22630,10369,35860
65743,29441,13437,34958
41971,29214,25152,10241
69760,32066,16122,36081
52963,28707,14137,22842
81128,28663,10291,51435
39662,22233,17529,15676
76039,39416,20155,34607
52968,30765,19372,20265
40228,28255,13705,10602
42741,22525,16806,18535
45194,16680,23358,26178
56362,43079,20354,11247
57842,35546,11079,21188
41394,13760,2269,27407
49634,37631,16483,10354
82134,39224,18992,41010
75913,31243,9553,43714
56544,45981,14956,9067
50570,32167,13681,17034
51800,15831,15521,34416
59202,33651,12276,24323
34658,32448,21452,64
46139,23967,15739,20598
24971,35735,10604,0
55988,13323,19587,40706
59707,39905,8679,18934
42752,21218,21422,19391
73609,20150,19955,51463
31613,28861,21948,557
28034,34329,14208,0
53366,31639,12519,20475
65706,22573,15420,41591
75258,24939,14577,48861
43116,18669,11736,23273
66180,27753,12231,37203
49422,40750,13168,7355
47410,29957,9149,16538
63254,38594,18389,22821
59784,44554,14738,13756
26354,24119,13458,889
72148,28134,9448,43069
70701,51711,9198,18070
40616,44443,24679,0
55937,13275,11863,41475
57410,33871,18052,21733
53910,30005,15813,22323
41745,38264,1124,3368
39925,22550,23962,14978
49616,21603,18420,26171
67590,23239,11161,43234
58154,24280,14858,32388
44440,38153,9254,5361
61575,18187,24131,40974
7271,23773,10461,0
67231,12109,12384,53883
23904,40071,11352,0
44563,42710,15401,312
33204,26729,21851,4289
30579,27020,23946,1164
67412,34532,13005,31579
42984,44744,16891,0
55197,34086,15409,19570
49296,23024,10091,25262
57155,13811,27112,40632
51152,18848,21813,30122
30755,30732,15945,0
64944,23446,22909,39207
42593,31949,21060,8538
26651,24470,15409,640
43578,19418,16629,22497
72511,18229,22560,52026
62753,45623,10269,16103
44770,38889,23368,3544
44761,47305,13874,0
45175,35399,22623,7513
81151,25700,14973,53953
55729,43233,16688,10827
56450,29669,14828,25298
65454,32208,12340,32012
53581,29571,13649,22645
46114,530,21895,43394
47054,46047,3429,664
48925,34910,8805,13134
49441,33298,11372,15005
60914,29382,9608,30571
50779,31634,22549,16890
60989,24027,21288,34833
48789,36165,17960,10828
51179,16929,11810,33069
20026,31860,21675,0
63744,35615,7059,27423
55197,28013,25709,24613
64970,33708,11576,30104
6556,20086,13689,0
81325,20341,12853,59698
47906,32367,9634,14575
66622,36785,24625,27374
34401,11251,18944,21255
59191,35220,21077,21863
34198,24567,8881,8742
40643,28071,15904,10981
78710,16604,17605,60345
47139,21483,16353,24020
53261,39661,9198,12680
63051,30328,20377,30685
57435,26172,15607,29702
52256,28835,10225,22398
55474,34892,5723,20009
86051,34404,18033,49843
49135,29249,27252,17160
53016,40929,9923,11094
65759,39704,15852,24469
66582,34133,20552,30393
67805,30546,8651,36393
59580,36573,12600,21747
32854,33142,10699,0
74501,40608,19923,31900
32804,38995,21627,0
54539,19817,15795,33142
38685,19140,10791,18465
49037,22987,12786,24771
54931,39761,11847,13985
54820,14236,10113,39572
56328,33947,14489,20932
74205,33625,17874,38792
56803,41626,17451,13431
46337,31803,14958,13038
64461,16567,15285,46365
67842,20406,14592,45976
31585,18180,8513,12553
58961,24620,15800,32761
60517,28170,12081,31138
45536,18345,8263,26364
70635,44706,16853,24243
47749,16747,11941,29807
51883,43461,16138,6808
47403,41851,19238,3628
50233,38983,10248,10225
33555,23062,15460,8947
28399,33424,5947,0
73917,17226,22662,54424
37295,39109,8204,0
35129,29260,12425,4626
17699,25906,21691,0
40415,17762,13827,21270
30153,5224,9013,24027
74630,19614,18565,53159
65147,41127,18452,22174
39677,25971,11834,12522
83786,28306,12375,54242
64726,36555,12822,26888
45127,48056,13964,0
12508,43250,5535,0
84364,20276,14092,62678
29156,10574,23919,16190
25319,53596,10520,0
65338,52689,12082,11440
86596,31884,9081,53803
70764,17295,18060,51663
58458,39632,21015,16724
58921,28920,20901,27910
62801,28870,8759,33055
61383,38944,17498,20689
54217,33343,22168,18657
51563,18141,17548,31667
49061,26752,17392,20569
38690,36611,12641,814
45789,35102,16100,9077
24605,32620,21181,0
48524,39334,16641,7525
35171,26382,8758,7913
33446,31786,12719,388
